,name,addr,grade,review
409,맛찬들왕소금구이 구로점,서울 구로구 디지털로32나길 17-28,3.8,후기 보고 걱정 맛있고 친절하셨다 근데 안 같다 1 가격 너무 비쌈 고기 삼겹살 목 살이 18000원 이고 된장찌개 8000원 ㄷㄷ 그 이유 서비스 오징어 볶음 간장 새우 치즈 구이 그런거 같은데 너무 느낌 너무 별로 파절 고사리 2 고기 너무 못 주심 옛날 다른 지점 때 온도 체크 맛있게 같은데 이번 온도 체크 그런거 없고 안 가위 느낌 아니라 느낌 가격 맛있는 고기 집 많은데 굳이 필요 못 다 이 거 보고 판단 
410,맛찬들왕소금구이 구로점,서울 구로구 디지털로32나길 17-28,3.8,맛있음 좋은데 
411,회한접시 본점,서울 구로구 서해안로 2328 1층,4.3,나무 회 접시 곰팡이 다 보고 구역질 다 곰팡이 안 진짜 비위생적 요 안 듯 
412,회한접시 본점,서울 구로구 서해안로 2328 1층,4.3,매장 수 있음 포장 꼼꼼하게 좋습니다 가성 비 아주 만족 자주 방문 예정 
413,회한접시 본점,서울 구로구 서해안로 2328 1층,4.3,너무 착한 가격 친절한 직원 분들 퇴근 후 타이밍 못 웨이 팅 있음 
414,헤비스테이크 구로디지털단지점,서울 구로구 디지털로26길 110 동일테크노타운 1층 104호,3.3,손님 때 온도 차이 ㅎ 배달 기사 인사 보고 
415,헤비스테이크 구로디지털단지점,서울 구로구 디지털로26길 110 동일테크노타운 1층 104호,3.3,고기 지도 맛 괜찮았습니다 몇몇 분 들 이 가격 너무 많은걸 ㅋㅋ 
416,헤비스테이크 구로디지털단지점,서울 구로구 디지털로26길 110 동일테크노타운 1층 104호,3.3,고기 그냥 저 괜찮음 청소 상태 별로 맥주 생맥주 아닌 미적지근한 카스 캔 맥주 맥주잔 얘기 전 줄 생각 없는듯 미지근한 355 m 카스 캔 맥주 비싸게 수 있는 곳 
417,남길참치 오류직영점,서울 구로구 경인로 240 예성라온팰리스,3.4,혼술 참치 포장 혼자 플렉스 때 먹기 좋아요 튀김 너무 바삭 뜻 참치 배불렀어요 또 
418,남길참치 오류직영점,서울 구로구 경인로 240 예성라온팰리스,3.4,술 손님 비싼 메뉴 손님 아님 기대하지 ㅋㅋㅋ ㅠㅠ 홀 직원 분들 너무 불친절해서 입맛 싹 홀 가지 배달 
419,남길참치 오류직영점,서울 구로구 경인로 240 예성라온팰리스,3.4,오류동 젤 맛나 참치 집 
420,스시비쇼쿠,서울 구로구 디지털로34길 55 코오롱싸이언스밸리2차 1층,3.7,가성 비 평 많은데 딱 같아요 가성 비 낫 배드 번창 
421,스시비쇼쿠,서울 구로구 디지털로34길 55 코오롱싸이언스밸리2차 1층,3.7,맛있고 셰프 님 친절하세요 
