,name,addr,grade,review
289,대작 구로디지털점,서울 구로구 디지털로32나길 17-26 1층,1.5,맛없는건 둘째 주문 누락 사과 없음 손님 말 어깨 툭툭 침 직원 한 명 그런게 아니라 다 그럼 
290,대작 구로디지털점,서울 구로구 디지털로32나길 17-26 1층,1.5,방문 이자카야 중 Worst TOP 3 안 듭니 어지간해 선 혹평 주의 이건 좀 아니지 단도직입 적 말 사시미 결혼식 뷔페 것 품질 뒤 회 입 살살 그러나 숙성 잘 살살 느낌 아니라 그냥 생선 근육 조직 뭉개 수준 입니다 이 것 흡사한 식감 것 적 없습니다 닌니쿠 풍 토리 거창 말 그대로 마늘 깐풍기 입니다 군대 냉동 닭강정 자웅 맛 입니다 차이점 전자 2만원 이 후자 5천원 이 채 점 요 그나마 새우 튀김 아마 이 것 냉동 기 성 품일 것 같은데 아무렴 이 제일 그리고 좌석 옆 발 좀 넌센스 입니다 다 옆 도대체 뭐 
291,대작 구로디지털점,서울 구로구 디지털로32나길 17-26 1층,1.5,시끄럽고 친절하지 상관 없이 문어 숙회 냉동 맛 ㅡ ㅡ 
292,단골손님 구로디지털점,서울 구로구 디지털로32나길 22 101호,2.6,
293,단골손님 구로디지털점,서울 구로구 디지털로32나길 22 101호,2.6,평일 알바 에바 ㅋ 우동 ㄹㅇ 물 다시다 
294,단골손님 구로디지털점,서울 구로구 디지털로32나길 22 101호,2.6,
295,원조부안집 신도림점,서울 구로구 공원로6나길 18 1층,4.5,퍽퍽 평범 
296,원조부안집 신도림점,서울 구로구 공원로6나길 18 1층,4.5,사장 님 친절하시고고기 맛 좋 습 ㅎㅎ 
297,원조부안집 신도림점,서울 구로구 공원로6나길 18 1층,4.5,
298,밀리커피,서울 구로구 새말로 62 1층,3.7,테이블 구린 냄새 남 
299,밀리커피,서울 구로구 새말로 62 1층,3.7,애견 동반 아니라네 요 주말 사람 많을 때 근처 산책 사람 없을 때 허락 한 대요 그래서 눈치 보 테이크아웃 근데 테이크아웃 해도 할인 안 일단 매장 내 섭취 안 다시 결제 아닌가요 평일 저녁 있는 남자 직원 분 사장 님 손님 사장 님 눈치 카페 이용 근방 다른 커피집 것 같습니다 
300,밀리커피,서울 구로구 새말로 62 1층,3.7,
301,스타벅스 구로호텔점,서울 구로구 디지털로32길 72 구로호텔 1층,3.2,사람 진짜 미친듯이 많고 많이 시끄러워요 회사 단지 카페 어쩔 수 없는듯 
302,스타벅스 구로호텔점,서울 구로구 디지털로32길 72 구로호텔 1층,3.2,제 요즘 헤이즐럿 얼음 왕창 없는게 싫어서 얼음 조금 시럽 많이 달달 늘 회사 근처 카페 방법 뭐 ㅋㅋㅋㅋㅋ 처음 때 몇 모금 커피 마냥 4/5만 ㅋㅋㅋㅋㅋㅋ 내 요청 되게 잘 못 불쾌했던 건가 덜 컵 사이즈 업 한 게 아닌데 얼음 그만큼 물 시럽 아닌가 내 배려 잘 스벅 주문 요청 사항 잘 유명한거 아닌가 맛 ★★★☆☆ 친절 ★☆☆☆☆ 주변 카페 많은데 따로 대형 프랜차이즈 메리트 못 
303,스타벅스 구로호텔점,서울 구로구 디지털로32길 72 구로호텔 1층,3.2,일 처리 부분 미흡하고 타 매장 비교 별 개드립 니 
304,버거킹 구로점,서울 구로구 시흥대로 551,3.1,
305,버거킹 구로점,서울 구로구 시흥대로 551,3.1,올 엑스트라 추가 돈 걍 거 줌 개별 
306,버거킹 구로점,서울 구로구 시흥대로 551,3.1,밑장빼기 
307,마포족발순대국,서울 구로구 경인로 661 신도림1차푸르지오 1층 143호,2.9,
308,마포족발순대국,서울 구로구 경인로 661 신도림1차푸르지오 1층 143호,2.9,앞다리 족발 맛있고요 부드러워서 좋습니다 어르신 들 많이 곳 
309,마포족발순대국,서울 구로구 경인로 661 신도림1차푸르지오 1층 143호,2.9,캡사이신 폭탄 당연한 요즘 세상 맵 양념 족발 판다 점 맵 찬사 없다 
310,맥도날드 고척DT점,서울 구로구 경인로 393,2.4,평범하게 맛없는 패스트푸드 점 자리는 많아서 좋음 
311,맥도날드 고척DT점,서울 구로구 경인로 393,2.4,회사 근처 맥날 훨씬 깨끗하고 좋네요 
312,맥도날드 고척DT점,서울 구로구 경인로 393,2.4,환불 잘 좋음 
313,김가네곱창구이전문,서울 구로구 도림로 93,4.2,가격 대비 만족도 높은 곳 입니다 베리 굿 
314,김가네곱창구이전문,서울 구로구 도림로 93,4.2,곱창 
315,김가네곱창구이전문,서울 구로구 도림로 93,4.2,
316,구로안,서울 구로구 디지털로32나길 27-8 1층,3.5,고기 엄청 질 기고 냉면 양 육수 엄청 맛있음 
317,구로안,서울 구로구 디지털로32나길 27-8 1층,3.5,가성 비 정말 좋음 
318,구로안,서울 구로구 디지털로32나길 27-8 1층,3.5,마블링 미쳤어요 꽃 등심 너무 맛있고 육회 엄청 야들야들 꼬소해 네 접시 것 같아요 즐거운 식사 
319,고기굽는방앗간 신도림점,서울 구로구 새말로16길 32 1층,3.6,맛있어요 맨션 문 안 여기 고기 신선하고 납닥떡 다다 고기 카레 가루 콕콕 소스 좀 구 운 대 파올리 김치 극락 더라구요 ㅎ 그래서 과식 체 ㅠ 암튼 정말 맛있었어요 만족 만족 그리고 사장 님 정말 뚱한 표정 시긴 카레 가루 많이 달라 하 많이 ㅋㅋ 암튼 재 방문 의사 있어요 
320,고기굽는방앗간 신도림점,서울 구로구 새말로16길 32 1층,3.6,고기 맛있어요 쫀득 밖 삼겹살 중 제일 가성 비 좋음 사장 님 좀 별로 불친절 아닌데 늘 뚱해서 뭐 달라 그러기 너무 불편 맘 안 고기 진짜 맛남 ㅠㅠ 
321,고기굽는방앗간 신도림점,서울 구로구 새말로16길 32 1층,3.6,삼겹살 너무 ㅠㅠ 기본 간이 ㅠㅠ 안 사람 들 별로 
322,명가민물장어,서울 구로구 새말로 36 1층,5.0,장어 굉장히 맛있고 친절하게 어르신 들 자리였는데 대 만족 
323,명가민물장어,서울 구로구 새말로 36 1층,5.0,친절하고 맛있어요 매일 청소 듯 수족관 매장 관리 엄청 깨끗합니다 
324,스타벅스 신도림점,서울 구로구 경인로 610,3.6,친절하고 좋아요 
325,스타벅스 신도림점,서울 구로구 경인로 610,3.6,말 뭐해 맛 너무 좋아요 
326,스타벅스 신도림점,서울 구로구 경인로 610,3.6,집 근처 자주 감 
327,능이네능이버섯백숙 고척점,서울 구로구 중앙로 37 1층,4.1,맛 좋습니다 
328,능이네능이버섯백숙 고척점,서울 구로구 중앙로 37 1층,4.1,
329,능이네능이버섯백숙 고척점,서울 구로구 중앙로 37 1층,4.1,진짜 맛있었습니다 ㅠㅠㅠㅠ 오랜 만 보양 양도 많고 마지막 찰밥 ㄹㅇ 맛있어요 ㅠㅠ 직원 분들 친절하셨습니다 강 추해요 ㅠㅠㅠ 
330,소담촌 구로역점,서울 구로구 구로중앙로 134 신구로자이나인스에비뉴 2층,3.9,브레이크 타임 3시 부터 있고 그 전 사람 3시 반까지 식사 가능하다고 참고 방문 
331,소담촌 구로역점,서울 구로구 구로중앙로 134 신구로자이나인스에비뉴 2층,3.9,직원 친절 교육 필요 
332,소담촌 구로역점,서울 구로구 구로중앙로 134 신구로자이나인스에비뉴 2층,3.9,야채 엄청 싱싱하고 국물 진하고 셀프 편하게 천천히 수 있음 음식 때 마스크 번거롭지만 어디 마찬가지 ㅠ 음식 100 점 만점 99 점 
333,디저트샵시소,서울 구로구 천왕로 29 상가동 1층 101호,5.0,최고 케이크 감히 말 있다고 자신감 있게 과일 케이크 훈장 선생님 모든 케이크 회초리 지적 질 가능 급 케이크 계 이단 바로 이 케이크 천왕 동 에 있다는 사실 읍니 여러분 가까운 케이크 집 여기 시소 나 요소 so 딜리 샤스 
334,디저트샵시소,서울 구로구 천왕로 29 상가동 1층 101호,5.0,아 진짜 ㅈㄴ 맛있음 케이크 중 가격 대비 제일 맛있어서 맨날 흑 흑 최고 
335,디저트샵시소,서울 구로구 천왕로 29 상가동 1층 101호,5.0,맛있네요 가족 모두 좋아했습니다 아버지 케이크 안 좋아하시는 편 데 입 
336,옹기종기감자옹심이,서울 구로구 서해안로30길 13-8,4.4,감자 옹심이 비빔 막국수 둘 다 맛있게 만족했어요 오래 사장 님 친절하셔서 좋은 서비스 느낌 
337,옹기종기감자옹심이,서울 구로구 서해안로30길 13-8,4.4,주중 12시 즈음 미리 전화해 세 개 사서 포장 미리 전화해서 오래 가격 맛 진짜 좋았음 나중 또 사서 할머니 드릴 예정 
338,옹기종기감자옹심이,서울 구로구 서해안로30길 13-8,4.4,옹심이 맛 보통 같이 겉절이 맛있어요 사장 님 친절하십니다 
339,만복영양솥밥,서울 구로구 구로중앙로19길 13,3.4,갖가지 고명 무쇠 솥밥 마아가린 쓱쓱 추억 맛 좋고 밥 무쇠 솥 콩나물국 부어 누룽지 국밥 해 나름 별 미네 
340,만복영양솥밥,서울 구로구 구로중앙로19길 13,3.4,다시 
341,만복영양솥밥,서울 구로구 구로중앙로19길 13,3.4,맛있어서 자주 방문 추천 
342,이조손칼국수,서울 구로구 공원로7길 22,3.8,진짜 개운하고 꿀맛 직원 분들 서 윗 하 심 
343,이조손칼국수,서울 구로구 공원로7길 22,3.8,
344,이조손칼국수,서울 구로구 공원로7길 22,3.8,만두전골 절대 극 노맛 하나 
345,청해진수산,서울 구로구 새말로 36,4.3,이 쪽 워낙 횟집 없어요 거의 유일하다시피 이 동네 회 선택 여지 없지만이 근방 가게 들 동 네 장사 보통 다 친절하시고 저렴 한편 맛 좋아요 이번 주 코스 후기 ㅋㅋ 후기 6 명 예약 방문 A 코스 B 코스 두 개 시킴 양 적당하고 스끼 다시 싱싱 사장 님 직원 분들 친절하시고 깔끔하고 맛있어요 평일 저녁 빈자리 없으니 예약 편할 듯 
346,청해진수산,서울 구로구 새말로 36,4.3,
347,청해진수산,서울 구로구 새말로 36,4.3,가격 저렴하면서 싱싱한 회 있는 집 사장 님 친절하시고 서비스 주심 다른 집 회 맛있음 단점 소주 맥주 시원하게 해 물 
348,스타벅스 구로고척점,서울 구로구 경인로 387,4.6,
349,스타벅스 구로고척점,서울 구로구 경인로 387,4.6,다 좋은데 모기 계절 어쩔 수 없다 치구 날 파리 좀 있어요 ㅠㅠㅠ 10시 까지 너무 좋을듯 
350,스타벅스 구로고척점,서울 구로구 경인로 387,4.6,스벅 조아 😍😍😍 쿠키 조앙 👍👍👍 커피 조아 💕💕💕 
351,카페큐브,서울 구로구 경인로 662 디큐브시티 15층,4.1,
352,카페큐브,서울 구로구 경인로 662 디큐브시티 15층,4.1,차분히 집중 책 보기 딱 좋은 곳 날씨 맑을 땐 뷰 예술 ♡ 
353,카페큐브,서울 구로구 경인로 662 디큐브시티 15층,4.1,
354,한우가,서울 구로구 공원로 67,2.8,리뷰 안좋은 것 같아요 저 이 근방 제일 나은 같아요 ㅠ 토실 토실 근데 일반 돼지갈비 대나무 그게 지 이이이 맛있어요 토실 토실 식감 좋아요 얇지 맛 있고 고기 물롱물렁 식감 있어요 무슨 말 ㅎㅎ 그리고 식당 하 고기 유통 빨리 빨리 많이 더 신선한 느낌 
355,한우가,서울 구로구 공원로 67,2.8,여기 예전 공원 가든 아니었나 망삘 간장 갈비탕 곳 
356,한우가,서울 구로구 공원로 67,2.8,벨 왜 있는지 서빙 하 사람 들 보고 오지 4 번째 카운터 있던 알바생 이 옴 주문 하 데 10분 걸린듯 
357,백년고기,서울 구로구 디지털로27길 48 1층,4.6,이 베리 코 고기 정말 맛있고 사장 님 친절하셔서 좋았습니다 이브 좋은 추억 또 방문 
358,백년고기,서울 구로구 디지털로27길 48 1층,4.6,존맛 이염 
359,백년고기,서울 구로구 디지털로27길 48 1층,4.6,사장 님 친절 고기 핵꿀맛 말 뭔 들 
360,미방 신도림점,서울 구로구 경인로 669-1,4.3,약간 어 두운 분위기 생각 주변 소란 스러웠어요 직원 분 들 설명 해주시 친절했습니다 양 갈비 냄새 안나 좋았어요 마늘 밥 하이 볼 같이 맛있습니다 특히 하이 볼 느끼함을 끝 깔끔하게 양 갈비 종류 별로 다 크게 차이 못 아마 제 구별 못 그런거 같아요 
361,미방 신도림점,서울 구로구 경인로 669-1,4.3,직원 분 엄청 친절하시고 테이블 많지는 조용하고 쾌적하게 수 있었어요 그리고 양 갈비 맛있어요 냄새 안 
