21,강남역,0,20,38333
241,서울역,3,0,1750
32,강남역,1,7,22499
282,서울역,4,17,19999
309,서울역,5,20,7250
159,강남역,6,14,63666
86,강남역,3,13,75999
133,강남역,5,12,76333
108,강남역,4,11,66999
308,서울역,5,19,10375
320,서울역,6,7,2583
104,강남역,4,7,20999
296,서울역,5,7,4500
317,서울역,6,4,1250
310,서울역,5,21,5750
174,서울역,0,5,1250
267,서울역,4,2,1250
40,강남역,1,15,76999
13,강남역,0,12,32999
90,강남역,3,17,76000
26,강남역,1,1,12999
191,서울역,0,22,2416
214,서울역,1,21,4500
249,서울역,3,8,9500
151,강남역,6,6,12999
321,서울역,6,8,3416
286,서울역,4,21,5250
155,강남역,6,10,37666
200,서울역,1,7,5125
176,서울역,0,7,2250
107,강남역,4,10,60999
69,강남역,2,20,62999
110,강남역,4,13,76999
23,강남역,0,22,26333
163,강남역,6,18,60333
303,서울역,5,14,21666
51,강남역,2,2,14999
258,서울역,3,17,20999
124,강남역,5,3,12999
184,서울역,0,15,7083
105,강남역,4,8,40999
217,서울역,2,0,1500
102,강남역,4,5,10999
165,강남역,6,20,56333
77,강남역,3,4,11999
128,강남역,5,7,20999
188,서울역,0,19,4750
126,강남역,5,5,10999
237,서울역,2,20,7250
307,서울역,5,18,14333
120,강남역,4,23,28999
28,강남역,1,3,10687
302,서울역,5,13,22333
44,강남역,1,19,72000
64,강남역,2,15,77999
170,서울역,0,1,1583
1,강남역,0,0,22999
187,서울역,0,18,5750
127,강남역,5,6,13999
202,서울역,1,9,17851
138,강남역,5,17,79666
287,서울역,4,22,3750
283,서울역,4,18,14999
147,강남역,6,2,19666
135,강남역,5,14,75666
41,강남역,1,16,74999
72,강남역,2,23,25999
262,서울역,3,21,5250
130,강남역,5,9,52999
171,서울역,0,2,1250
293,서울역,5,4,1250
8,강남역,0,7,10999
190,서울역,0,21,2916
46,강남역,1,21,47999
211,서울역,1,18,14999
75,강남역,3,2,12999
322,서울역,6,9,4916
83,강남역,3,10,60999
195,서울역,1,2,1250
17,강남역,0,16,42999
327,서울역,6,14,8916
153,강남역,6,8,18333
29,강남역,1,4,9625
281,서울역,4,16,20999
6,강남역,0,5,12999
250,서울역,3,9,17999
331,서울역,6,18,7250
180,서울역,0,11,4583
177,서울역,0,8,2416
129,강남역,5,8,38999
97,강남역,4,0,18999
228,서울역,2,11,23666
240,서울역,2,23,2250
315,서울역,6,2,1250
263,서울역,3,22,3250
185,서울역,0,16,6583
91,강남역,3,18,85000
246,서울역,3,5,1500
85,강남역,3,12,76999
144,강남역,5,23,37666
94,강남역,3,21,54999
52,강남역,2,3,12999
264,서울역,3,23,2250
99,강남역,4,2,14999
270,서울역,4,5,1750
197,서울역,1,4,1250
291,서울역,5,2,1250
