3343,동대문 관광특구,6,6,7083
6110,선릉역,2,13,63999
665,서울숲공원,6,16,16999
4783,압구정로데오거리,3,6,3750
1804,반포한강공원,5,3,550
7137,용산역,3,8,11999
2376,북서울꿈의숲,0,23,3750
2049,뚝섬한강공원,1,8,2931
1170,서울대공원,6,17,4583
3147,명동 관광특구,5,2,4500
3323,동대문 관광특구,5,10,21999
4936,창동 신경제 중심지,2,15,29999
2284,망원한강공원,4,3,750
3308,동대문 관광특구,4,19,18999
4928,창동 신경제 중심지,2,7,18999
7511,연신내역,4,22,6250
1012,서울대공원,0,3,583
3478,강남 MICE 관광특구,4,21,6250
7058,용산역,0,1,3750
302,광화문·덕수궁,5,13,34999
6936,고속터미널역,1,23,3000
1986,잠실한강공원,5,17,3750
7484,연신내역,3,19,9250
4069,DMC(디지털미디어시티),1,12,30333
6841,강남역,5,0,18999
7609,신촌·이대역,2,0,10999
7745,왕십리역,0,16,10999
2945,잠실 관광특구,3,16,60999
8107,건대입구역,1,18,22999
7203,용산역,6,2,3250
524,서울숲공원,0,19,9500
3291,동대문 관광특구,4,2,16999
4108,DMC(디지털미디어시티),3,3,5250
4430,성수카페거리,2,13,12999
408,경복궁·서촌마을,2,23,4750
3255,동대문 관광특구,2,14,22999
1174,서울대공원,6,21,850
6828,강남역,4,11,66999
5015,창동 신경제 중심지,5,22,26333
1404,월드컵공원,2,11,4500
3307,동대문 관광특구,4,18,23999
6686,역삼역,5,13,38999
8215,건대입구역,6,6,8083
7140,용산역,3,11,12999
3713,여의도,0,16,58999
2294,망원한강공원,4,13,1250
7833,왕십리역,4,8,8250
484,경복궁·서촌마을,6,3,4250
6122,선릉역,3,1,14999
3936,인사동·익선동,2,23,6500
5711,수유리 먹자골목,6,22,12999
4965,창동 신경제 중심지,3,20,28999
4490,성수카페거리,5,1,1500
7856,왕십리역,5,7,6250
2210,망원한강공원,1,1,775
3641,홍대 관광특구,4,16,66999
3096,명동 관광특구,2,23,8500
5056,영등포 타임스퀘어,0,15,26999
1661,잠실종합운동장,6,4,1250
7610,신촌·이대역,2,1,10999
2634,종로·청계 관광특구,4,17,32999
1754,반포한강공원,3,1,750
1222,이촌한강공원,1,21,2750
7948,신림역,2,3,7500
564,서울숲공원,2,11,11999
2263,망원한강공원,3,6,950
5102,영등포 타임스퀘어,2,13,16999
6267,서울역,2,2,1250
4774,압구정로데오거리,2,21,14999
7068,용산역,0,11,11666
146,창덕궁·종묘,6,1,3250
3426,강남 MICE 관광특구,2,17,18999
7545,연신내역,6,8,4250
4759,압구정로데오거리,2,6,3750
4333,북촌한옥마을,5,12,1250
4429,성수카페거리,2,12,12999
1945,잠실한강공원,4,0,2250
1597,잠실종합운동장,3,12,2000
4670,가로수길,5,13,32999
476,경복궁·서촌마을,5,19,9750
1752,반포한강공원,2,23,1250
1675,잠실종합운동장,6,18,2916
401,경복궁·서촌마을,2,16,10999
555,서울숲공원,2,2,3000
3228,동대문 관광특구,1,11,22999
2331,망원한강공원,6,2,816
1826,반포한강공원,6,1,950
916,국립중앙박물관·용산가족공원,3,3,350
2196,망원한강공원,0,11,1250
6743,강남역,0,22,26333
4024,인사동·익선동,6,15,26999
870,국립중앙박물관·용산가족공원,1,5,350
121,창덕궁·종묘,5,0,3250
205,광화문·덕수궁,1,12,37666
7901,신림역,0,4,8416
5286,노량진,3,5,6000
2717,이태원 관광특구,1,4,2750
1861,잠실한강공원,0,12,3250
2457,북서울꿈의숲,4,8,3250
6170,선릉역,5,1,14999
3157,명동 관광특구,5,12,77666
4978,창동 신경제 중심지,4,9,22999
3873,인사동·익선동,0,8,6416
5905,구로디지털단지역,1,0,5750
4278,북촌한옥마을,3,5,450
7437,연신내역,1,20,7500
7919,신림역,0,22,12333
4142,DMC(디지털미디어시티),4,13,30999
6767,강남역,1,22,35999
6873,강남역,6,8,18333
161,창덕궁·종묘,6,16,11999
113,창덕궁·종묘,4,16,14999
8012,신림역,4,19,16999
3729,여의도,1,8,112521
3752,여의도,2,7,40999
6486,가산디지털단지역,4,5,6250
831,남산공원,6,14,16999
4117,DMC(디지털미디어시티),3,12,30999
7198,용산역,5,21,11749
3259,동대문 관광특구,2,18,22999
3438,강남 MICE 관광특구,3,5,900
1163,서울대공원,6,10,4583
3183,명동 관광특구,6,14,48999
1627,잠실종합운동장,4,18,2500
5602,수유리 먹자골목,2,9,9500
4355,북촌한옥마을,6,10,850
3208,동대문 관광특구,0,15,20333
7815,왕십리역,3,14,9750
6297,서울역,3,8,9500
454,경복궁·서촌마을,4,21,7500
500,경복궁·서촌마을,6,19,10999
349,경복궁·서촌마을,0,12,11666
6082,선릉역,1,9,48445
7814,왕십리역,3,13,9250
281,광화문·덕수궁,4,16,32999
486,경복궁·서촌마을,6,5,4083
2430,북서울꿈의숲,3,5,3750
3505,강남 MICE 관광특구,6,0,1416
1713,반포한강공원,1,8,2358
1050,서울대공원,1,17,1875
540,서울숲공원,1,11,10999
7913,신림역,0,16,14999
2163,뚝섬한강공원,6,2,1250
1836,반포한강공원,6,11,3416
177,광화문·덕수궁,0,8,5083
6792,강남역,2,23,25999
5839,낙산공원·이화마을,5,6,250
5484,쌍문동 맛집거리,4,11,3000
634,서울숲공원,5,9,9250
4102,DMC(디지털미디어시티),2,21,12999
6256,서울역,1,15,22999
2908,잠실 관광특구,2,3,12999
4194,DMC(디지털미디어시티),6,17,11666
971,국립중앙박물관·용산가족공원,5,10,1250
7812,왕십리역,3,11,8250
3495,강남 MICE 관광특구,5,14,26999
6740,강남역,0,19,40999
2610,종로·청계 관광특구,3,17,34999
3561,홍대 관광특구,1,8,34304
4874,창동 신경제 중심지,0,1,17666
8045,신림역,6,4,8750
6302,서울역,3,13,22999
3111,명동 관광특구,3,14,69999
2472,북서울꿈의숲,4,23,3750
5278,노량진,2,21,12999
4390,성수카페거리,0,21,4083
430,경복궁·서촌마을,3,21,6750
2539,종로·청계 관광특구,0,18,18333
5891,구로디지털단지역,0,10,7250
2127,뚝섬한강공원,4,14,2250
6558,역삼역,0,5,5500
6417,가산디지털단지역,1,8,39521
5769,낙산공원·이화마을,2,8,250
4107,DMC(디지털미디어시티),3,2,5000
5659,수유리 먹자골목,4,18,12999
6316,서울역,4,3,1250
4387,성수카페거리,0,18,7250
1110,서울대공원,4,5,650
8296,신도림역,2,15,4500
3886,인사동·익선동,0,21,9083
2528,종로·청계 관광특구,0,7,5750
